ID,Start time,Completion time,Earlierwfh,Isguidelines,Guidelinesgiven,Devices,Useofdevicesbyothers,Assets,Devicesmanaged,Devicespec,Thirdpartyenv,Please describe how you obtain access to your corporate working environment.,"Were you asked to use applications or services that you were unfamiliar with, because of the need for remote working?",Awareness,Has your company adopted a specific collaboration solution?,Skills,Issues,Othercyberissues,Preference,WFHResults,I collaborate with my colleagues as effectively as when we are in office.,Satisfaction,"I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",I am proud to work for my organization.,I have access to the things I need to do my job well.,Age,Qualification,Role,Businessdomain,Designation,Comments
5,2020-07-04 16:53:59,2020-07-04 16:56:10,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;Antispam software installed;,Remote connection to your workstation (e.g. TeamViewer),No,No,No,Yes,File sharing;Collaborative file editing;Web conference;Real-time chatting;,Phishing email;,No,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,25-34 years old,Master’s degree,Education & Research,No,Researcher,No
6,2020-07-04 17:37:30,2020-07-04 17:41:50,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Antivirus software installed;,No special provisions,No,No,No,Yes,File sharing;Collaborative file editing;Web conference;Real-time chatting;,None;,-,Disagree,Agree,Agree,Agree,Undecided,Agree,Agree,35-44 years old,Doctorate degree,Education & Research,No,Researcher,-
7,2020-08-04 14:16:24,2020-08-04 14:19:31,Yes,No,No,Laptop;Smartphone;,No,Personal assets,No,Password protection;Antivirus software installed;,No special provisions,No,No,No,No,No,Phishing;,No,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,45-54 years old,Doctorate degree,Security (cyber),No,Manager,No
8,2020-08-04 14:17:51,2020-08-04 14:19:55,Yes,Yes,No,Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Antivirus software installed;,No special provisions,No,No,No,No,No,None;,No,Agree,Agree,Disagree,Agree,Agree,Undecided,Strongly agree,25-34 years old,Doctorate degree,Education & Research,No,Researcher,No
9,2020-08-04 14:16:45,2020-08-04 14:20:02,Yes,Yes,Use of VPN,Laptop;Smartphone;,No,Corporate assets,No,Password protection;Antivirus software installed;,VPN access,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,IT professional,No
10,2020-08-04 14:18:12,2020-08-04 14:20:52,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Antivirus software installed;,No special provisions,No,No,No,No,No,None;,No,Disagree,Strongly disagree,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,18-24 years old,"High school graduate, diploma or the equivalent",EPES (Electrical Power & Energy Systems),No,Other,No
11,2020-08-04 14:20:15,2020-08-04 14:22:51,Yes,No,No,Laptop;,Yes,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Direct access,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;Other;,None;,No,Agree,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,Education & Research,No,Security professional,No
12,2020-08-04 14:30:52,2020-08-04 14:33:59,Yes,No,No,Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;,Direct access,No,Yes,Instructions provided via email;,Yes,Project/Workflow/Task management;Teleconferencing;,Spyware/Virus infection;,No,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,45-54 years old,Doctorate degree,Education & Research,No,Manager,No
13,2020-08-04 14:31:03,2020-08-04 14:35:01,Yes,No,No,Laptop;Smartphone;,Yes,Corporate assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Direct access,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Disagree,Agree,Agree,Agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,Manager,No
14,2020-08-04 14:45:53,2020-08-04 14:49:32,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;,Direct access,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Agree,Agree,Undecided,Agree,Strongly agree,18-24 years old,Bachelor’s degree,IT (Information Technology),No,IT professional,No
